"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","SE12","East Middle Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2006","2006",,,"0","Units",,,82.5,,
"2","Large regions (TL2)","SE12","East Middle Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2010","2010",,,"0","Units",,,85.33,,
"2","Large regions (TL2)","SE12","East Middle Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2014","2014",,,"0","Units",,,86.55,,
"2","Large regions (TL2)","SE21","Småland with Islands","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,81.3,,
"2","Large regions (TL2)","SE21","Småland with Islands","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2006","2006",,,"0","Units",,,82.78,,
"2","Large regions (TL2)","SE21","Småland with Islands","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2010","2010",,,"0","Units",,,85.18,,
"2","Large regions (TL2)","SE21","Småland with Islands","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2014","2014",,,"0","Units",,,86.81,,
"2","Large regions (TL2)","SE22","South Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2002","2002",,,"0","Units",,,79,,
"2","Large regions (TL2)","SE22","South Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2006","2006",,,"0","Units",,,81.04,,
"2","Large regions (TL2)","SE22","South Sweden","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2010","2010",,,"0","Units",,,83.32,,
